,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2020-01-31,6,14,26,45,62,77,100,125,155,181,210,248,292,355,411,468,539,603,667,740,832,914,988,1088,1194,1303,1412,1500,1607,1714,1829,1921,2035,2164,2308,2432,2567,2718,2862,2997,3150,3318,3458,3612,3758,3914,4067,4236,4387,4552,4711,4855,5017,5174,5333,5526,5679,5839,5995,6141,6303,6449,6595,6745,6880,7015,7183,7336,7478,7621,7775,7938,8098,8234,8359,8504,8646,8781,8944,9082,9242,9397,9522,9647,9777,9903,10031,10171,10295,10436,10574,10690,10828,10961,11098,11230,11354,11509,11618,11618
2020-02-01,6,11,19,34,63,80,112,139,173,223,251,303,357,404,453,517,577,633,684,750,806,886,968,1056,1136,1206,1311,1402,1494,1588,1671,1791,1870,2008,2114,2211,2328,2446,2569,2680,2790,2915,3043,3159,3296,3420,3550,3681,3831,3954,4101,4234,4378,4512,4675,4816,4934,5053,5184,5286,5428,5566,5711,5835,5968,6093,6220,6343,6456,6578,6699,6834,6940,7078,7194,7314,7449,7582,7722,7864,7972,8082,8204,8309,8422,8525,8649,8769,8892,9018,9126,9239,9365,9509,9640,9775,9893,10022,10128,10128
2020-02-02,3,7,23,41,59,83,106,128,156,186,209,245,289,323,368,405,458,512,561,617,678,744,810,879,948,1021,1093,1184,1266,1333,1403,1512,1613,1703,1788,1892,1990,2098,2206,2296,2413,2510,2613,2733,2836,2946,3063,3158,3267,3375,3495,3605,3697,3811,3911,4023,4141,4260,4364,4487,4598,4719,4845,4950,5038,5159,5259,5371,5474,5574,5700,5814,5931,6033,6146,6262,6374,6462,6583,6692,6793,6891,6993,7109,7202,7335,7446,7558,7663,7764,7859,7980,8090,8207,8325,8456,8557,8657,8769,8769
2020-02-03,3,6,12,18,38,54,64,83,98,113,131,159,185,225,266,297,344,412,459,493,561,622,680,749,816,892,967,1040,1130,1229,1318,1419,1520,1624,1724,1830,1934,2040,2143,2267,2389,2514,2633,2761,2876,3011,3145,3257,3382,3487,3606,3692,3825,3959,4099,4243,4365,4481,4610,4747,4895,5031,5147,5265,5401,5537,5643,5783,5891,6030,6151,6279,6399,6540,6671,6806,6934,7049,7163,7296,7399,7534,7673,7799,7931,8053,8185,8316,8443,8558,8687,8810,8928,9041,9155,9291,9408,9534,9641,9641
2020-02-04,3,10,18,30,44,62,95,118,148,178,206,238,282,333,389,431,481,528,592,660,735,826,926,1000,1086,1193,1281,1391,1485,1582,1672,1768,1874,1989,2107,2229,2342,2442,2560,2666,2798,2935,3071,3205,3312,3449,3580,3715,3849,3988,4126,4263,4408,4541,4663,4804,4957,5089,5226,5363,5508,5637,5785,5949,6108,6258,6389,6541,6693,6855,7011,7146,7270,7417,7568,7714,7881,8038,8186,8334,8472,8607,8752,8897,9041,9179,9314,9489,9630,9782,9915,10060,10210,10363,10495,10646,10794,10948,11087,11087
2020-02-05,2,10,19,28,41,51,66,84,98,117,137,159,186,213,247,291,329,379,419,468,528,580,636,690,750,812,866,925,981,1043,1122,1206,1285,1374,1460,1537,1615,1716,1814,1923,2032,2140,2260,2369,2481,2592,2723,2842,2953,3077,3203,3316,3429,3560,3663,3798,3926,4044,4166,4283,4403,4542,4667,4794,4908,5028,5137,5254,5361,5513,5658,5808,5931,6057,6196,6324,6472,6592,6722,6872,6979,7112,7256,7382,7521,7660,7799,7916,8051,8175,8302,8439,8566,8676,8782,8904,9032,9132,9243,9243
2020-02-06,3,12,31,53,68,88,114,138,169,185,219,257,300,351,391,453,513,563,660,740,806,878,951,1015,1094,1165,1261,1364,1452,1557,1660,1776,1898,2002,2125,2248,2364,2464,2594,2735,2859,2998,3141,3302,3436,3581,3738,3868,4020,4171,4322,4455,4600,4743,4870,4999,5151,5293,5421,5548,5679,5794,5927,6055,6191,6320,6470,6597,6736,6869,6995,7147,7299,7459,7621,7762,7912,8061,8216,8378,8528,8668,8812,8944,9097,9268,9378,9541,9684,9838,9983,10111,10245,10400,10530,10641,10785,10947,11065,11065
2020-02-07,7,19,31,46,61,89,116,136,156,171,200,223,250,285,336,382,439,502,560,623,687,759,846,943,1049,1147,1236,1346,1450,1551,1661,1788,1920,2044,2143,2276,2404,2549,2661,2790,2941,3084,3252,3412,3564,3718,3858,3995,4163,4306,4465,4617,4793,4970,5126,5300,5504,5659,5825,5989,6158,6315,6469,6650,6803,6970,7122,7291,7472,7631,7807,7988,8150,8317,8502,8666,8819,9007,9176,9333,9496,9649,9818,10018,10181,10332,10478,10651,10790,10946,11084,11237,11382,11541,11705,11874,12030,12168,12317,12317
2020-02-08,0,1,4,12,22,30,43,56,82,119,149,177,210,257,321,388,441,509,596,661,726,808,888,948,1042,1146,1254,1368,1485,1589,1711,1836,1961,2080,2191,2300,2424,2541,2678,2842,2971,3108,3249,3391,3529,3681,3821,3961,4108,4262,4426,4548,4719,4858,5003,5157,5282,5423,5575,5731,5864,6014,6174,6328,6460,6603,6723,6864,6993,7122,7246,7380,7513,7627,7758,7893,8013,8147,8272,8378,8525,8658,8790,8924,9050,9177,9314,9438,9559,9687,9794,9910,10023,10165,10267,10386,10518,10625,10765,10765
2020-02-09,4,11,16,20,24,30,42,55,69,85,113,135,163,212,267,314,369,420,470,517,587,666,731,799,865,935,1013,1088,1164,1249,1334,1433,1539,1645,1728,1827,1945,2068,2183,2300,2407,2511,2615,2738,2857,2973,3091,3209,3323,3462,3591,3708,3820,3964,4098,4216,4330,4443,4556,4680,4785,4909,5039,5173,5308,5422,5527,5636,5757,5868,5982,6108,6217,6314,6414,6517,6610,6741,6852,6942,7036,7135,7243,7363,7456,7544,7650,7741,7824,7930,8041,8143,8239,8317,8390,8484,8580,8661,8760,8760
