,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2020-01-31,6,18,43,63,83,109,144,173,203,250,287,329,370,418,456,506,556,605,669,744,808,884,954,1011,1090,1166,1228,1295,1371,1442,1497,1582,1667,1747,1976,2067,2162,2245,2339,2436,2529,2616,2700,2788,2871,2965,3067,3169,3262,3356,3446,3518,3784,3884,3979,4062,4137,4224,4297,4386,4478,4559,4646,4735,5131,5231,5316,5385,5457,5539,5630,5855,5944,6019,6085,6152,6220,6305,6409,6488,6717,6937,7178,7250,7332,7412,7471,7541,7618,7680,7906,7976,8036,8099,8179,8244,8300,8353,8426,8426
2020-02-01,6,27,49,77,109,140,178,216,263,312,359,394,434,478,528,569,631,697,762,828,895,958,1012,1091,1145,1216,1292,1376,1457,1546,1620,1710,1819,1927,2003,2086,2178,2282,2370,2612,2701,2799,3045,3283,3369,3468,3566,3641,3741,3839,4093,4185,4275,4522,4594,4829,4919,5013,5092,5156,5226,5306,5377,5608,5707,5796,5890,5974,6048,6153,6241,6323,6404,6500,6595,6682,6758,6831,6911,6983,7063,7124,7183,7260,7349,7433,7502,7749,7837,7906,8130,8196,8273,8339,8402,8468,8539,8612,8824,8824
2020-02-02,9,21,57,79,104,134,160,187,227,261,299,344,410,450,501,545,592,637,692,763,828,906,965,1022,1074,1135,1225,1312,1377,1453,1526,1591,1658,1751,1819,2048,2127,2197,2275,2355,2429,2509,2590,2671,2756,2838,2919,2993,3073,3163,3255,3322,3405,3504,3741,3798,3889,3977,4209,4291,4372,4602,4671,4748,4814,5048,5114,5190,5233,5308,5374,5446,5507,5577,5640,5704,5777,5832,5894,5957,6006,6225,6455,6519,6576,6627,6691,6757,6801,6860,6906,6966,7018,7080,7141,7353,7412,7459,7503,7503
2020-02-03,8,21,38,64,86,110,134,161,196,230,270,316,360,393,443,490,517,571,620,665,716,778,834,890,941,1003,1067,1131,1214,1277,1352,1429,1492,1571,1655,1728,1790,1869,1932,2012,2091,2169,2275,2368,2433,2530,2645,2726,2818,2900,2987,3059,3286,3395,3486,3578,3652,3744,3827,3917,4007,4106,4193,4276,4348,4439,4549,4680,4793,4883,4967,5065,5156,5246,5477,5550,5637,5725,5806,5886,5967,6035,6138,6217,6285,6358,6564,6652,6733,6807,6886,6950,7023,7099,7185,7267,7327,7389,7599,7599
2020-02-04,4,27,49,77,104,152,188,228,272,313,353,410,481,547,605,678,757,828,895,978,1053,1137,1208,1296,1400,1484,1591,1687,1790,1898,1990,2086,2187,2289,2368,2593,2683,2789,2889,2977,3085,3201,3317,3415,3512,3619,3741,3845,3971,4074,4194,4440,4683,4773,4879,5003,5113,5212,5620,5724,5835,6090,6192,6288,6370,6458,6563,6639,6723,6822,6925,7019,7117,7206,7307,7408,7516,7619,7730,7813,7902,7986,8079,8209,8323,8435,8538,8654,8884,9125,9212,9299,9387,9462,9695,9775,9856,9941,10028,10028
2020-02-05,0,4,20,32,50,75,99,119,140,165,192,223,274,317,350,390,426,466,499,547,595,644,692,748,806,856,929,992,1063,1126,1194,1255,1460,1540,1618,1678,1773,1843,2053,2128,2212,2280,2500,2574,2669,2735,2945,3014,3082,3160,3387,3475,3564,3642,3707,3782,3853,4053,4142,4223,4300,4537,4605,4685,4763,4840,4919,4981,5051,5131,5212,5282,5351,5423,5491,5570,5641,5699,5763,5826,5903,5985,6052,6130,6205,6288,6506,6573,6633,6702,6770,6851,6924,7005,7088,7292,7361,7424,7502,7502
2020-02-06,8,19,38,51,63,87,112,135,155,177,210,234,281,331,373,413,457,504,548,591,671,727,780,825,888,952,1013,1086,1159,1211,1292,1363,1432,1498,1591,1674,1744,1816,1901,1974,2057,2143,2209,2285,2369,2466,2560,2649,2736,2824,3058,3146,3217,3287,3372,3450,3542,3615,3707,3781,4017,4121,4225,4317,4398,4484,4576,4645,4746,4824,4903,5120,5215,5304,5401,5478,5712,5796,5868,5913,5991,6067,6125,6211,6295,6367,6457,6539,6617,6706,6787,7005,7080,7150,7221,7297,7365,7441,7526,7526
2020-02-07,4,14,24,41,60,89,112,130,167,190,231,266,301,333,377,414,461,502,546,598,635,682,742,789,852,917,984,1046,1120,1201,1289,1354,1424,1515,1592,1806,1879,1942,2025,2092,2309,2398,2475,2555,2664,2750,2828,2909,3001,3093,3310,3536,3637,3716,3806,3883,3987,4088,4185,4287,4394,4490,4593,4705,4798,5020,5120,5207,5306,5390,5471,5570,5667,5760,5847,5946,6189,6268,6345,6428,6504,6730,6797,6874,6957,7190,7268,7358,7435,7504,7579,7651,7751,7839,7913,7986,8056,8126,8189,8189
2020-02-08,1,6,25,37,52,74,87,109,139,174,208,236,269,303,352,396,443,475,512,551,594,772,825,868,916,971,1026,1088,1144,1214,1293,1361,1416,1473,1540,1598,1683,1756,1948,2005,2068,2158,2236,2301,2398,2461,2539,2604,2663,2741,2826,3074,3163,3269,3356,3443,3537,3626,3717,3801,3879,3979,4057,4130,4212,4310,4396,4459,4539,4610,4688,4914,4984,5051,5118,5173,5232,5309,5399,5481,5583,5967,6046,6125,6199,6267,6339,6405,6458,6547,6618,6690,6764,6844,6897,6967,7031,7108,7182,7182
2020-02-09,3,5,17,38,57,68,86,108,120,144,168,189,221,254,284,312,355,406,445,487,533,594,641,692,900,958,1013,1236,1297,1360,1435,1511,1580,1640,1701,1763,1838,1909,1976,2047,2120,2199,2290,2372,2477,2710,2804,2880,2953,3024,3115,3202,3437,3520,3907,3988,4070,4145,4217,4305,4385,4476,4556,4629,4711,4804,4892,5131,5372,5460,5539,5606,5692,5772,5830,5893,5947,6016,6080,6165,6243,6320,6389,6478,6561,6640,6703,6783,7018,7084,7163,7381,7445,7523,7599,7825,7878,7948,8020,8020
