date,meanValue,medianValue,sumValue,stdValue,totaltx,price
2020-05-03,3.8077652025807744e+18,0.0,1.2566539032157957e+24,2.4596396115429776e+20,789689.0,213.96
2020-05-04,5.672842152085761e+18,0.0,1.6906544552172218e+24,2.9380313329984792e+20,774035.0,209.85
2020-05-05,5.46110202040937e+18,0.0,1.6183812004419184e+24,3.611815172442115e+20,785518.0,206.59
2020-05-06,6.960176777271824e+18,0.0,2.1972373262862534e+24,3.5523380527239194e+20,833506.0,205.36
2020-05-07,9.205187860019972e+18,0.0,3.0075097724385057e+24,4.810147044415742e+20,877129.0,199.05
2020-05-08,6.581542125221682e+18,0.0,2.1927987160283243e+24,4.266228383170259e+20,887756.0,212.00
2020-05-09,4.3380549564134374e+18,0.0,1.4811073993283335e+24,2.2068860296430407e+20,894382.0,211.47
2020-05-10,9.837040401318599e+18,0.0,3.2560603728372005e+24,6.4042963147237e+20,879153.0,210.19
2020-05-11,7.205075073540262e+18,0.0,2.3939654490093651e+24,4.4298447480885995e+20,887554.0,187.77
2020-05-12,7.66667910184558e+18,0.0,2.422149262003954e+24,4.178666367794869e+20,880678.0,185.82
2020-05-13,8.517118182810787e+18,0.0,2.5022100824550817e+24,4.26220393011737e+20,856962.0,189.82
2020-05-14,7.621173827602702e+18,0.0,2.2704162738070594e+24,4.154001876466523e+20,820300.0,199.58
2020-05-15,6.051340937256188e+18,0.0,1.9307892501681554e+24,2.8363921487535374e+20,888691.0,203.29
2020-05-16,4.07838385534269e+18,0.0,1.2669336311264375e+24,1.945659459885502e+20,875030.0,194.85
2020-05-17,4.5617119854616136e+18,0.0,1.3574696909213658e+24,2.448835467496563e+20,808464.0,200.51
2020-05-18,6.610672755701189e+18,0.0,2.1084608540851847e+24,3.0823550799034476e+20,857645.0,207.00
2020-05-19,4.863291992835622e+18,0.0,1.599590232655239e+24,2.8884775329966254e+20,848038.0,214.88
2020-05-20,5.206976103950109e+18,0.0,1.6732982198368692e+24,2.6659086454196503e+20,855377.0,214.52
2020-05-21,6.153850355151804e+18,0.0,2.008001370885547e+24,4.0722922895848905e+20,867704.0,210.00
2020-05-22,5.509868468437742e+18,0.0,1.859040640987488e+24,2.8264876367309852e+20,916282.0,198.75
