,meanValue,medianValue,stdValue,sumValue,totaltx,inputDegree,outputDegree,price
2020-06-20,190819911.88675565,3415121.5,54097826659719.0,2419501655.565086,57461731.8468,508966,677395,9357.43
2020-06-21,182553991.46092245,2779579.5,47346473009339.0,2161627296.406896,36882860.072,464810,616409,9284.78
2020-06-22,320070166.7239161,5232798.5,96368646218237.0,6120100930.534034,134494787.057,540329,724143,9691.9
2020-06-23,379126079.9881528,5164478.0,134628808382033.0,8138521345.587338,102289235.2817,668772,836468,9621.49
2020-06-24,423679801.7206533,5081325.0,132513907904367.0,13831660911.123371,178365905.779,582175,750472,9276.58
2020-06-25,376984842.6281337,5366307.5,117864311047686.0,7795782012.591887,166531113.6115,573118,754437,9240.85
2020-06-26,370430333.3553828,4960538.0,122085317976267.0,19035570706.874527,141780368.2755,605660,788054,9154.45
2020-06-27,208565364.432017,3994736.0,57383631543003.0,2446942290.9990644,92221683.8292,497500,660880,9004.23
2020-06-28,259214218.00153685,3287265.0,68816449809266.0,4994681852.449381,59501520.5565,467199,638487,9127.47
2020-06-29,320076657.18493485,5219968.0,100953137906100.0,5151046424.080931,100083941.014,578191,752078,9185.35
2020-06-30,367662198.1826316,5549207.5,110287629588844.0,7522787084.966599,63158022.9811,555521,733342,9133.97
2020-07-01,285795913.3551123,5408149.5,109319794817464.0,3999742129.51804,98873138.805,710965,899593,9236.38
2020-07-02,300538600.2600559,5247509.0,101943895362612.0,5020894908.8966,107207537.5074,619619,806427,9087.98
2020-07-03,291001723.6984612,5242075.5,96367548816535.0,3974257496.7156143,57803290.9944,604010,786510,9072.42
2020-07-04,234939897.9796879,3671407.5,67872257007148.0,3069944724.2282376,38839661.8326,519773,687550,9131.31
2020-07-05,218608340.77525532,3137497.0,59905462230984.0,3026601694.356103,50720848.7269,491041,647279,9089.09
2020-07-06,342471203.3001103,5199067.0,115819993772861.0,5691166777.124992,113743420.0259,627862,795803,9348.91
2020-07-07,287437481.8192807,5429588.5,99278606720525.0,4233541820.9813128,95242533.9588,620189,817631,9256.23
2020-07-08,314797100.7611536,5807658.0,109938795078523.0,6506919025.594499,121129125.3966,636060,826659,9440.07
2020-07-09,265445755.92154056,5248484.0,96036150926366.0,3574459624.1138554,98869845.9588,677042,847959,9238.04
2020-07-10,280296491.94222,5376789.5,96827862548456.0,4456503392.94829,79818144.576,632383,818530,9287.4
2020-07-11,201252360.7665048,3815363.5,62077498192593.0,2844811073.600048,30014745.7292,555284,728846,9235.96
2020-07-12,277007086.7680263,3124855.0,78121261603232.0,8006418150.611337,42610639.379,498855,661560,9295.9
2020-07-13,360559413.5207285,5764912.0,111854544059468.0,6500375058.260868,78223034.3433,555962,747427,9238.13
2020-07-14,251705227.4359274,5983056.0,90310828783101.0,4693783004.581154,88249714.542,652466,847080,9254.52
2020-07-15,265585133.4149221,6095833.0,83921449552381.0,4646912730.067247,83393685.6643,573206,764844,9193.51
2020-07-16,282930955.1586983,6567598.0,98123001627633.0,4472577985.710744,88531436.7,633339,828312,9131.0
2020-07-17,289792573.2671741,6783082.5,85052381498476.0,4439676190.662055,71682525.5883,514539,711517,9154.19
2020-07-18,211672957.16559452,5278508.0,65844471766630.0,3054202726.1855307,29934693.3054,585131,729505,9174.71
2020-07-19,236151124.6861618,4311067.0,65436295894912.0,3552762748.853238,32799397.9768,530444,650949,9214.66
2020-07-20,292252729.2624951,6033538.0,90581103160347.0,3428252683.433986,59994848.8643,561028,742438,9163.87
2020-07-21,283621251.2942344,6909729.0,88865628561766.0,3606905555.735156,114760459.146,570414,761169,9392.66
