,BTC Price,ETH Vol., LTC Vol.,XRP Vol.,DOGE Vol.,USDT Vol.,BNB Vol.,ADA Vol.,BTC Vol.,total Vol.
101,6862.7,19070000.0,10710000.0,2280000000.0,33909999999.999996,2670000.0,3690000.0,310110000.0,845580.0,36537095580.0
102,6867.9,22600000.0,12090000.0,2650000000.0,33290000000.0,5490000.0,4070000.0000000005,270200000.0,1100000.0,36255550000.0
103,6918.1,25300000.0,18780000.0,3100000000.0,34720000000.0,6050000.0,4310000.0,372890000.0,1250000.0,38248580000.0
104,6841.8,21200000.0,9760000.0,2400000000.0,33770000000.000004,6330000.0,4520000.0,245240000.0,999530.0,36458049530.0
105,6851.3,20700000.0,9190000.0,2630000000.0,34510000000.0,3940000.0,3800000.0,228570000.0,1000000.0,37407200000.0
106,6629.1,32990000.000000004,12580000.0,3760000000.0,34410000000.0,3550000.0,4070000.0000000005,506500000.0,1540000.0,38731230000.0
107,7085.5,20050000.0,8900000.0,2190000000.0,32930000000.0,3520000.0,3150000.0,256350000.00000003,810100.0,35412780100.0
108,7035.9,24750000.0,9750000.0,2080000000.0,32670000000.0,3640000.0,3960000.0,312670000.0,796450.0,35105566450.0
109,7230.9,23270000.0,15510000.0,2150000000.0,33180000000.0,2620000.0,2970000.0,349280000.0,5930000.0,35729580000.0
110,7122.9,33680000.0,21800000.0,3180000000.0,33710000000.0,8170000.0,3220000.0,427110000.0,1260000.0,37385240000.0
111,6833.4,23630000.0,15120000.0,2640000000.0,33890000000.0,5380000.0,3140000.0,299920000.0,892570.0,36878082570.0
112,6842.5,23810000.0,16840000.0,2190000000.0,32850000000.0,4580000.0,3300000.0,256430000.0,914180.0,35345874180.0
113,7112.8,28730000.0,23770000.0,2960000000.0,32380000000.000004,6380000.0,3450000.0,857990000.0,1340000.0,36261660000.0
114,7491.3,19840000.0,19240000.0,2350000000.0,32240000000.000004,5700000.0,3010000.0,845260000.0,951950.0,35484001950.0
115,7503.9,21870000.0,20910000.0,2000000000.0,31930000000.0,2380000.0,2950000.0,468580000.0,861930.0,34447551930.0
116,7540.4,23130000.0,23950000.0,1860000000.0,32330000000.0,3310000.0,3320000.0,671410000.0,921590.0,34916041590.0
117,7679.4,23330000.0,21970000.0,2029999999.9999998,30170000000.0,4530000.0,2940000.0,756600000.0,980500.0,33010350500.0
118,7766.0,21810000.0,13730000.0,3210000000.0,29410000000.0,5280000.0,2840000.0,567450000.0,808090.0,33231918090.0
119,7746.7,32869999.999999996,18110000.0,3820000000.0,28580000000.0,9380000.0,3820000.0,839190000.0,1830000.0,33305200000.0
120,8770.6,35460000.0,14830000.0,4269999999.9999995,29440000000.0,11560000.0,4130000.0,1220000000.0,2040000.0,34998020000.0
121,8628.6,23080000.0,10800000.0,2730000000.0,28060000000.0,6380000.0,3800000.0,630030000.0,1110000.0,31465200000.0
122,8821.6,18310000.0,11060000.0,2390000000.0,26880000000.0,4250000.0,3010000.0,411830000.0,890340.0,29719350340.0
123,8966.2,23120000.0,13380000.0,2420000000.0,27450000000.0,5800000.0,2620000.0,496990000.0,1150000.0,30413060000.0
124,8885.5,27210000.0,13180000.0,2880000000.0,27830000000.0,4660000.0,2760000.0,748260000.0,1120000.0,31507190000.0
125,8874.2,21050000.0,8210000.000000001,2270000000.0,27500000000.0,4950000.0,2610000.0,453110000.0,1050000.0,30260980000.0
126,9000.6,24030000.0,10170000.0,2300000000.0,27200000000.0,3140000.0,2720000.0,426750000.0,1620000.0,29968430000.0
127,9152.7,26710000.0,13600000.0,2880000000.0,26680000000.0,8090000.0,3030000.0,491770000.0,1910000.0,30105110000.0
128,9980.1,23080000.0,10760000.0,2610000000.0,26420000000.0,7570000.0,2620000.0,606900000.0,1420000.0,29682350000.0
129,9806.0,20900000.0,10080000.0,2740000000.0,26700000000.0,6300000.0,2230000.0,457370000.0,1490000.0,29938370000.0
130,9553.9,35980000.0,18600000.0,3810000000.0,29420000000.0,14740000.0,2910000.0,1160000000.0,2470000.0,34464700000.0
131,8737.6,26740000.0,15360000.0,3150000000.0,29150000000.0,9210000.0,2730000.0,1020000000.0,2290000.0,33376330000.0
132,8569.8,15580000.0,12790000.0,2210000000.0,27530000000.0,8560000.0,3030000.0,654240000.0,1350000.0,30435550000.0
133,8813.9,17470000.0,10540000.0,2160000000.0,27520000000.0,10290000.0,2810000.0,498250000.0,1500000.0,30220860000.0
134,9298.7,20750000.0,12720000.0,2250000000.0,27620000000.0,9460000.0,2800000.0,470380000.0,1770000.0,30387880000.0
135,9778.6,16620000.000000002,11700000.0,2060000000.0,27280000000.0,4750000.0,2310000.0,441860000.0,1560000.0,29818800000.0
136,9318.1,15520000.0,12690000.0,1520000000.0,27090000000.0,3270000.0,2730000.0,337380000.0,1100000.0,28982690000.0
137,9376.6,15780000.0,13480000.0,1240000000.0,26590000000.0,2710000.0,2890000.0,259510000.0,1180000.0,28125550000.0
138,9678.4,17730000.0,16790000.0,1570000000.0,27200000000.0,4210000.0,3120000.0,591410000.0,1180000.0,29404440000.0
