,BTC,ETH, LTC,XRP,DOGE,USDT,BNB,ADA
202,9162.3,236.10,41.954,0.19468,0.003226,1.0,17.44,0.117755
203,9387.4,245.54,43.786,0.19947,0.0033,1.0005,17.71,0.123131
204,9513.6,263.29,44.984,0.20356,0.003289,1.0013,18.09,0.12384
205,9599.2,275.33,44.939,0.2085,0.003298,1.001,18.75,0.12419
206,9546.7,279.33,44.1,0.20401,0.003215,1.0012,19.19,0.121959
207,9690.0,305.32,49.154,0.21464,0.003252,1.0012,19.77,0.14352
208,9932.7,311.12,48.072,0.21527,0.003237,1.0008,19.55,0.148171
209,10961.1,321.82,53.263,0.22433,0.003167,1.0019,19.76,0.138657
210,10908.4,316.95,55.754,0.23041,0.003198,1.0018,20.17,0.148791
211,11105.8,317.79,55.17,0.24096,0.003171,1.0009,19.76,0.139217
212,11096.5,334.84,56.738,0.24415,0.003227,1.0012,19.96,0.14047
213,11333.2,346.48,58.16,0.25945,0.003224,1.0015,20.71,0.138847
214,11802.6,387.15,61.637,0.29101,0.003713,1.0014,21.62,0.144154
215,11066.9,372.26,56.766,0.28791,0.003333,1.0003,21.0,0.133717
216,11223.8,385.86,58.488,0.31005,0.003372,1.0007,22.05,0.137208
217,11184.8,389.62,57.601,0.30136,0.003549,1.0005,22.31,0.143259
218,11735.0,400.80,58.864,0.30248,0.003501,1.0011,23.28,0.142214
219,11757.1,394.80,59.043,0.30316,0.003559,1.0009,22.72,0.1443
220,11591.6,379.57,57.186,0.29444,0.003531,1.0009,22.27,0.138777
221,11764.4,396.78,58.445,0.29526,0.003514,1.0007,22.91,0.146783
222,11681.1,390.22,56.949,0.28795,0.003468,1.0005,22.4,0.145176
223,11889.2,395.52,58.281,0.29465,0.003495,1.0008,22.65,0.143854
224,11390.4,379.03,54.102,0.28292,0.003391,0.9999,21.31,0.136858
225,11557.2,387.15,54.517,0.28232,0.003462,1.0003,21.49,0.13666
226,11771.1,424.28,57.135,0.29434,0.003483,1.0012,21.84,0.139374
227,11751.1,438.04,56.679,0.30006,0.00357,1.0013,23.18,0.13826
228,11845.5,432.22,59.822,0.29882,0.003535,1.0004,23.09,0.138411
229,11898.8,433.62,63.881,0.30446,0.003535,1.0004,23.53,0.1388
230,12283.0,430.63,67.199,0.3152,0.003589,1.0011,23.46,0.14048
231,11944.4,422.10,65.447,0.30255,0.003477,1.001,22.98,0.136966
232,11751.0,407.39,62.104,0.28979,0.003419,1.0003,22.39,0.129631
233,11856.9,416.05,62.783,0.29215,0.003441,1.0008,23.09,0.133996
234,11529.2,388.06,59.181,0.27921,0.003376,1.0,22.1,0.122938
235,11661.1,395.56,60.228,0.28609,0.003437,1.0002,22.2,0.125265
236,11641.6,390.81,60.546,0.2848,0.003397,1.0004,21.86,0.121384
237,11752.9,407.64,62.09,0.28856,0.003409,1.0004,22.59,0.123647
238,11324.9,383.16,58.347,0.27641,0.003282,1.0003,21.39,0.112386
239,11462.3,385.96,58.087,0.27647,0.003288,1.0003,22.2,0.114404
240,11327.5,383.16,56.083,0.26456,0.003205,1.0004,23.15,0.107191
241,11527.8,395.32,57.41,0.27167,0.003263,1.0006,23.1,0.109279
242,11468.1,398.80,56.952,0.27384,0.003276,1.0003,22.99,0.116248
243,11701.1,428.81,62.87,0.28303,0.003297,1.0001,23.66,0.1175
244,11644.2,433.89,60.957,0.28114,0.00321,1.0002,23.15,0.122456
245,11914.4,475.72,62.697,0.29533,0.003242,1.0004,24.73,0.124517
246,11413.2,439.14,58.06,0.27602,0.003115,1.001,24.72,0.114942
247,10168.7,381.97,47.47,0.2443,0.002764,1.0016,20.33,0.094784
248,10472.3,385.94,50.364,0.25403,0.002877,1.0008,20.95,0.101652
249,10092.2,334.91,47.812,0.23737,0.00276,1.0002,19.37,0.089969
250,10296.4,353.49,47.91,0.23985,0.002783,0.9998,23.11,0.092596
251,10376.9,352.06,48.839,0.242,0.002815,1.0,22.49,0.093568
252,10126.8,337.46,47.46,0.2365,0.002745,1.0001,23.23,0.091022
253,10224.3,351.10,47.833,0.23901,0.00278,1.0001,24.52,0.093323
254,10339.8,367.89,48.669,0.24311,0.002805,1.0003,24.44,0.097015
255,10390.2,373.74,48.927,0.24258,0.002796,1.0005,25.4,0.096936
256,10441.7,388.06,50.833,0.24741,0.002815,1.0002,28.32,0.097656
257,10332.7,365.89,48.153,0.24203,0.002783,1.0,31.15,0.095039
258,10675.2,376.70,49.114,0.24559,0.00279,1.0003,30.94,0.096623
259,10785.2,363.91,48.294,0.24331,0.002829,1.0002,27.14,0.093106
260,10950.1,364.75,47.762,0.24683,0.002793,1.0004,27.78,0.091446
261,10941.3,389.37,48.832,0.25214,0.002807,1.0001,27.1,0.094073
262,10933.0,384.25,48.539,0.25061,0.002788,1.0001,27.46,0.091049
263,11081.6,385.33,48.492,0.25082,0.002792,1.0,27.14,0.091413
264,10919.9,371.09,47.118,0.2466,0.002774,1.0,26.07,0.089317
265,10419.4,341.32,43.148,0.23079,0.0026,0.9999,23.07,0.079711
266,10531.5,343.96,44.453,0.23297,0.002643,1.0,24.05,0.081464
267,10238.1,319.97,42.978,0.22146,0.00255,0.9995,22.81,0.076589
268,10739.9,349.13,44.947,0.23279,0.002631,1.0002,24.55,0.082542
269,10688.9,351.62,46.002,0.24149,0.002713,1.0005,24.72,0.096904
270,10727.9,354.26,46.019,0.24151,0.002697,1.0004,26.13,0.095475
271,10776.4,357.42,46.042,0.24331,0.002697,1.0002,26.26,0.101307
272,10694.3,353.97,45.195,0.24105,0.002648,0.9997,26.94,0.100382
273,10843.4,359.77,45.697,0.24288,0.002673,1.0,28.85,0.101088
274,10776.6,359.50,46.266,0.24183,0.002634,1.0,29.27,0.101342
275,10619.6,353.06,46.237,0.23824,0.002625,0.9999,27.45,0.098009
276,10572.2,345.78,44.917,0.23396,0.00259,1.0003,27.3,0.092777
277,10544.4,345.60,45.492,0.23265,0.002599,1.0004,28.1,0.09328
278,10672.5,352.69,46.663,0.24792,0.002638,1.0004,28.93,0.096825
279,10790.2,353.53,46.332,0.25051,0.002622,1.0004,28.62,0.097451
280,10601.0,340.59,45.982,0.24562,0.002599,0.9998,27.65,0.092904
281,10670.7,341.66,46.569,0.24862,0.002594,0.9999,27.68,0.09373
282,10923.5,350.71,47.198,0.25117,0.002605,1.0006,27.72,0.096189
283,11053.5,365.25,47.761,0.25299,0.002657,1.0007,28.4,0.101306
284,11295.6,370.28,48.888,0.25391,0.002666,1.0007,28.41,0.104991
285,11370.8,374.39,50.506,0.2554,0.002681,1.0002,28.52,0.106469
286,11533.5,386.64,50.605,0.25596,0.002669,1.0006,30.52,0.109524
287,11424.4,381.13,49.894,0.25654,0.002637,1.0007,30.64,0.109341
288,11421.4,378.96,49.833,0.24912,0.002638,1.0008,30.84,0.107068
289,11503.2,377.60,49.557,0.24588,0.002601,1.0008,31.24,0.106631
290,11321.8,365.08,47.586,0.24022,0.002604,1.0008,30.04,0.104115
